tweet_url,filtered_cleaned_text,lang,translated_text
https://x.com/namirelia/status/1541394626216890368,baby blues turun kadar hormon hamil dadak habis salin otak mabuk dosis hilang hormon serang otak ngurus emosional kalo ga tangan ngarah depresi postpartum psikosis,id,Baby Blues drops pregnancy hormone levels suddenly run out of brain sickness dose lost doses of hormones attack brain take care of emotions if the arm is headed for postpartum depression psychosis
https://x.com/amlrmdnt_/status/1282344660661239808,pseudocyesis kali yak mola eeh nya usg wkwk,id,pseudocyesis kali yak mola eeh nya ultrasound wkwk
https://x.com/Itsinmyminds/status/1741242841660346784,tong jujur ma istrimau istri bipolar drama dll tetep jujur istri drama krn bipolar udh dasar drama queen krn kondisi trus nambah hamil nambah tuh dramabukannya drangkul tmenin dokter ngebales drama hmm,id,Tong Honest Ma Wife Bipolar Drama Etc Stay Honest Wife Drama Krn Bipolar Udh Basic Drama Queen Krn Condition Increase Pregnancy Increase Drama Drama Instead of Drangkul Tmenin Doctor Replying Drama Hmm
https://x.com/Itsinmyminds/status/1741240280530235885,udh istri bipolar kondisi sehat rangkul teman berobattrus hamil nambah tuh bipolar dkasih jajan sekian gk ajak ngobrol keluargabukannya bikin gak sehat y ksi org bpolar klo mkir ky,id,udh bipolar wife healthy condition embrace a friend for treatment pregnant add tuh bipolar give snacks so much gk talk to family instead of making it unhealthy y ksi org bpolar klo mkir ky
https://x.com/waseiwasena/status/1352639223526903808,bayang udah nyiapin mental wkwk hamil udh ngeluh pdhl sampe abis lahir banget juang,id,The shadow of having mentally prepared wkwk pregnant udh complained about PDHL until she was born really hard
https://x.com/flopnezMo/status/1635915437899935744,gin percaya perempuan emang ya agnacong halu ngaku perempuan anak suami helloww gw ngakak bgt deh inget ya tu nya bool gasah ngaku bs hamil haduh ganggu mental stadium agnacong,id,gin believe that women are indeed agnacong halu claiming to be a woman and a son of a helloww husband gw ngak bgt deh remember yes tu nya bool gasah admitted that bs is pregnant facing mental disorders agnacong stage
https://x.com/_wthtwings/status/1275638673640312832,o tenang gais kalo hamil aborsi minum postinor guys pakai kb yaela mental si mah gak dipikirin point gak rahim jd kering aborsi mah gak dipikirin,id,o calm down if you are pregnant abortion drink postinor guys use birth control yaela mental mah is not thought of point no uterus jd dry abortion mah not thought of
https://x.com/tetianjar/status/1838885818011619787,kaya gitu tipsnya semangat ngeden ya siapin mental hamil,id,"That's the tip of the spirit of getting ready, get mentally pregnant"
https://x.com/taliwang98/status/1439320928135962624,mental kakak adik anak hamil nikah apain mental si anak nyari sakit netizen ngehina hina anak hamil nikah hamilin anak orang meni marah wajar,id,mental brother and sister pregnant child marriage what is the child's mentality almost sick netizens insult pregnant child marriage pregnant child child meni person angry natural
https://x.com/taliwang98/status/1439320928135962624,mental kakak adik anak hamil nikah apain mental si anak nyari sakit netizen ngehina hina anak hamil nikah hamilin anak orang meni marah wajar,id,mental brother and sister pregnant child marriage what is the child's mentality almost sick netizens insult pregnant child marriage pregnant child child meni person angry natural
