"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1852643307308093808","Sat Nov 02 09:41:17 +0000 2024","0","@kairybubble Kata dokter karena hormon nya jadi bagus juga btw saya udah nikah ya pas diet .. jadi kek udah kelar mengASIhi anak pertama mau balikin badan lagi ke sebelum hamil pas udah nyampe target bulan depan hamil ... Dulu pakai diet OCD ..","1852647159277249009","","kairybubble","in","Tangerang, Indonesia","0","0","0","https://x.com/faza99_0/status/1852647159277249009","1838873638642360320","faza99_0"
"1778763655443836953","Sun Apr 14 02:05:33 +0000 2024","0","Tante ku kena OCD dia kalo mandi lama bgt kadang sampe 5 jam baru selesai udh 6tahun lebih dia kek gitu ke spesialis jg ngga mau katanya nanti ga bisa hamil klo minum obatnya gw harus gimana? Apakah harus pindah rumah? Darimana duitnya","1779330119200547295","","kamusiapa2125","in","","0","0","0","https://x.com/kamusiapa2125/status/1779330119200547295","1568118557749428224","kamusiapa2125"
"1755859984217522419","Fri Feb 09 09:21:50 +0000 2024","0","@sffsuss Ya karna u satu2nya cewe sih. Tp mbak ku ni bener2 kek ocd njiir . Iki mergo hamil wae dadi rodo mending ono sisi males ngerapikke sitik ","1755884700508598770","","sffsuss","in","","0","1","0","https://x.com/mylilyputt/status/1755884700508598770","1231181614023159808","mylilyputt"
"1733469127673876690","Sat Dec 09 12:50:20 +0000 2023","0","Gatau yaa sejak hamil lahiran dan sampai detik ini tu bawaannya ga seneng liat yg berantakan dan sg reget2 terutama sprei kasur paling ora iso ndelok kgeser sitik pun. Sekali ada sing berantakin moodku yg tak bangun dari pagi dengan susah payah lgsg anjlok. Apakah aku ocd? ","1733469127673876690","","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/binarceriararys/status/1733469127673876690","284017201","binarceriararys"
"1716106280673440084","Thu Oct 26 19:41:48 +0000 2023","0","@HDN_sol @txtdrjkt ya penumpang lah. isinya org² capek ya jelas emosinya ga stabil mau yg hamil atau ngga laki² atau perempuan tua atau muda waras atau ocd tinggal pribadi msg²nya aja yg rasa sabarnya seluas lapangan bola atau setipis tisu dibagi 4","1717627608719061120","","HDN_sol","in","renchin 🤝 enjenie","0","0","0","https://x.com/rlovejsmr/status/1717627608719061120","1385456090259738630","rlovejsmr"
"1658971605903769601","Wed May 17 23:26:55 +0000 2023","0","Gatau kenapa padahal selama hamil tuh jd agak OCD gitulo sebentar2 cuci tangan pake sabun ... apalagi kalo dirumah ya dikit dikiit cuci tangan pake sabun... Nie bintitan kan etiologinya si staphylococcus ya... huhuhu kek mana lah Tapi emang pertama muncul tu habis renang","1658977425198563329","","EmmalysaTyta","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/EmmalysaTyta/status/1658977425198563329","953286536950251521","EmmalysaTyta"
"1641038752448430080","Wed Mar 29 12:30:23 +0000 2023","1","@nirwan_anestesi Dah kek OCD lama2 kutengok dok sibok kali ke dokter teros. Gak dia tengok ibu2 hamil meninggal di jalan.","1641055200223072256","","nirwan_anestesi","in","Depok, Jawa Barat","0","2","0","https://x.com/irasjafii/status/1641055200223072256","51937357","irasjafii"
"1628969281789779968","Fri Feb 24 07:28:05 +0000 2023","0","@tojislove @Askrlfess Hmm ternyata gt ya walaupun kadang bilangnya bawaan bayi lah. Dulu pernah juga punya guru ocd nya kambuh keknya pas hamil kita sekelas lebih serinh disuruh beres beres ketimbang belajar pas jam pelajarannya. Kita sebagai anak murid cm bisa maklumin aja ","1629020322291945473","","tojislove","in","ID","0","0","0","https://x.com/k_o_y_i/status/1629020322291945473","1117065952921657346","k_o_y_i"
"1605737398583062528","Thu Dec 22 02:29:21 +0000 2022","15","@tanyakanrl Nahyan kaos kutangan bungaaaaa sholeh kucing karyawan swasta oyen ngadem kluarga Khong Guan warung ocd tersusun rapih mainan bocil kematian anak cemong2 disuapin yg hamil gue gk tau dia viral ngapain tpi cweknya kyak bang andihiyat.","1605752322126057472","","tanyakanrl","in","","0","2","1","https://x.com/Lopez13joonie/status/1605752322126057472","1177875629120770048","Lopez13joonie"
"1588914719607619584","Sat Nov 05 15:22:44 +0000 2022","0","Diet OCD jendela makan 8jam.. Sit up.. Plank Dulu lengan ku gede bergelambir.. Trus sering wo gerakan plank dan situp lengan dan perut mengecil.. Efeknya keliatan ketika hamil skrg.. BB naik.. yg melebar cuman bagian perut dan paha.. Lengan dan kaki bawah tetap kecil ","1588914719607619584","","","in","","0","0","0","https://x.com/heldadev/status/1588914719607619584","74942193","heldadev"
"1560266323229552641","Fri Aug 19 13:31:56 +0000 2022","1","@hamdaechi Tae su mi pas hamil pasti suka ledekin orang ocd ","1560620581459963905","","hamdaechi","in","Aresa","0","1","0","https://x.com/hobijustmyhope/status/1560620581459963905","1191706229225091072","hobijustmyhope"
"1513076865799712771","Sun Apr 10 08:53:32 +0000 2022","0","OCD saya makin teruk ketika hamil dan waktu nak bersalin dalam Labour Room. Waktu hamil saya jadi takut kalau saya buat sesuatu perkara anak saya akan mati.","1513077709177761792","","wawaggmu","in","Malaysia","0","1","0","https://x.com/wawaggmu/status/1513077709177761792","4211930532","wawaggmu"
"1513076865799712771","Sun Apr 10 08:52:54 +0000 2022","0"," 9 bulan yang sangat mencabar ketika hamil dengan OCD ","1513077549722902533","","wawaggmu","in","Malaysia","0","1","0","https://x.com/wawaggmu/status/1513077549722902533","4211930532","wawaggmu"
"1513076865799712771","Sun Apr 10 08:50:13 +0000 2022","0","Kini OCD saya dalam keadaan terkawal setelah mendapat rawatan PSY sejak tahun 2019. Ubat yang saya ambil dari Escitalopram bertukar ke Fluvoxamine bertukar lagi ke Fluoxetine dan selepas dapat tahu hamil ubat bertukar lagi ke Sertraline.","1513076876184788997","","wawaggmu","in","Malaysia","0","1","0","https://x.com/wawaggmu/status/1513076876184788997","4211930532","wawaggmu"
